sensorSF,meshSF,weatherSigma,s0_sent,s1_sent,s2_sent,s3_sent,s4_sent,total_tx,gw1_below,gw2_below,total_below,ns1_rcv,ns2_rcv,total_rcv,der_pct,gw1_dropped,gw1_congestion
11,10,6.0,13,13,13,13,13,65,0.0,0.0,0.0,13,13,26,40.0,0,0
11,10,9.0,13,13,13,13,13,65,0.0,0.0,0.0,13,13,26,40.0,0,0
11,11,0.0,13,13,13,13,13,65,0.0,0.0,0.0,13,13,26,40.0,0,0
11,11,3.0,13,13,13,13,13,65,0.0,0.0,0.0,13,13,26,40.0,0,0
11,11,6.0,13,13,13,13,13,65,0.0,0.0,0.0,13,12,25,38.46,0,0
11,11,9.0,13,13,13,13,13,65,0.0,0.0,0.0,13,12,25,38.46,0,0
11,12,0.0,13,13,13,13,13,65,0.0,0.0,0.0,13,13,26,40.0,0,0
11,12,3.0,13,13,13,13,13,65,0.0,0.0,0.0,13,13,26,40.0,0,0
11,12,6.0,13,13,13,13,13,65,0.0,0.0,0.0,13,12,25,38.46,0,0
11,12,9.0,13,13,13,13,13,65,0.0,0.0,0.0,13,12,25,38.46,0,0
12,7,0.0,7,7,7,7,7,35,0.0,0.0,0.0,7,7,14,40.0,0,0
12,7,3.0,7,7,7,7,7,35,0.0,0.0,0.0,6,6,12,34.29,0,0
12,7,6.0,7,7,7,7,7,35,0.0,0.0,0.0,7,5,12,34.29,0,0
12,7,9.0,7,7,7,7,7,35,0.0,0.0,0.0,7,7,14,40.0,0,0
12,8,0.0,7,7,7,7,7,35,0.0,0.0,0.0,7,7,14,40.0,0,0
12,8,3.0,7,7,7,7,7,35,0.0,0.0,0.0,7,7,14,40.0,0,0
12,8,6.0,7,7,7,7,7,35,0.0,0.0,0.0,7,7,14,40.0,0,0
12,8,9.0,7,7,7,7,7,35,0.0,0.0,0.0,6,7,13,37.14,0,0
12,9,0.0,7,7,7,7,7,35,0.0,0.0,0.0,7,7,14,40.0,0,0
12,9,3.0,7,7,7,7,7,35,0.0,0.0,0.0,7,6,13,37.14,0,0
12,9,6.0,7,7,7,7,7,35,0.0,0.0,0.0,5,7,12,34.29,0,0
12,9,9.0,7,7,7,7,7,35,0.0,0.0,0.0,7,7,14,40.0,0,0
12,10,0.0,7,7,7,7,7,35,0.0,0.0,0.0,7,7,14,40.0,0,0
12,10,3.0,7,7,7,7,7,35,0.0,0.0,0.0,7,7,14,40.0,0,0
12,10,6.0,7,7,7,7,7,35,0.0,0.0,0.0,7,7,14,40.0,0,0
12,10,9.0,7,7,7,7,7,35,0.0,0.0,0.0,7,6,13,37.14,0,0
12,11,0.0,7,7,7,7,7,35,0.0,0.0,0.0,7,7,14,40.0,0,0
12,11,3.0,7,7,7,7,7,35,0.0,0.0,0.0,7,7,14,40.0,0,0
12,11,6.0,7,7,7,7,7,35,0.0,0.0,0.0,7,7,14,40.0,0,0
12,11,9.0,7,7,7,7,7,35,0.0,0.0,0.0,6,7,13,37.14,0,0
12,12,0.0,7,7,7,7,7,35,0.0,0.0,0.0,7,7,14,40.0,0,0
12,12,3.0,7,7,7,7,7,35,0.0,0.0,0.0,7,7,14,40.0,0,0
12,12,6.0,7,7,7,7,7,35,0.0,0.0,0.0,7,5,12,34.29,0,0
12,12,9.0,7,7,7,7,7,35,0.0,0.0,0.0,7,7,14,40.0,0,0
