gw,mesh,mode,sensorSF,meshSF,total_sent,total_rcv,total_drop,der_pct,total_rcv_started,total_rcv_correct,total_collision,radio_der_pct,collision_pct
2,3,MAX,9,12,2763,2010,0,72.74701411509228,5718,2010,2688,35.15215110178384,47.00944386149003
2,3,MAX,9,7,2859,2010,0,70.30430220356769,5718,2010,2688,35.15215110178384,47.00944386149003
2,3,MAX,9,8,1906,1340,0,70.30430220356769,3812,1340,1792,35.15215110178384,47.00944386149003
2,3,MAX,9,9,1906,1340,0,70.30430220356769,3812,1340,1792,35.15215110178384,47.00944386149003
2,3,MIN,10,10,1446,2040,0,141.07883817427387,2892,2040,852,70.53941908713693,29.460580912863072
2,3,MIN,10,11,482,680,0,141.07883817427387,964,680,284,70.53941908713693,29.460580912863072
2,3,MIN,10,12,964,1360,0,141.07883817427387,1928,1360,568,70.53941908713693,29.460580912863072
2,3,MIN,10,7,482,680,0,141.07883817427387,964,680,284,70.53941908713693,29.460580912863072
2,3,MIN,10,8,964,1360,0,141.07883817427387,1928,1360,568,70.53941908713693,29.460580912863072
2,3,MIN,10,9,1446,2040,0,141.07883817427387,2892,2040,852,70.53941908713693,29.460580912863072
2,3,MIN,11,10,244,488,0,200.0,488,488,0,100.0,0.0
2,3,MIN,11,11,732,1464,0,200.0,1464,1464,0,100.0,0.0
2,3,MIN,11,12,732,1464,0,200.0,1464,1464,0,100.0,0.0
2,3,MIN,11,7,732,1464,0,200.0,1464,1464,0,100.0,0.0
2,3,MIN,11,8,732,1464,0,200.0,1464,1464,0,100.0,0.0
2,3,MIN,11,9,244,488,0,200.0,488,488,0,100.0,0.0
2,3,MIN,12,10,280,560,0,200.0,560,560,0,100.0,0.0
2,3,MIN,12,11,280,560,0,200.0,560,560,0,100.0,0.0
2,3,MIN,12,12,420,840,0,200.0,840,840,0,100.0,0.0
2,3,MIN,12,7,280,560,0,200.0,560,560,0,100.0,0.0
2,3,MIN,12,8,280,560,0,200.0,560,560,0,100.0,0.0
2,3,MIN,12,9,420,840,0,200.0,840,840,0,100.0,0.0
2,3,MIN,7,10,8979,17958,0,200.0,17958,17958,0,100.0,0.0
2,3,MIN,7,11,8979,17958,0,200.0,17958,17958,0,100.0,0.0
2,3,MIN,7,12,8979,17958,0,200.0,17958,17958,0,100.0,0.0
2,3,MIN,7,7,8979,17958,0,200.0,17958,17958,0,100.0,0.0
2,3,MIN,7,8,8979,17958,0,200.0,17958,17958,0,100.0,0.0
2,3,MIN,7,9,8979,17958,0,200.0,17958,17958,0,100.0,0.0
2,3,MIN,8,10,3350,1364,0,40.71641791044776,6700,1364,5336,20.35820895522388,79.64179104477613
2,3,MIN,8,11,5025,2046,0,40.71641791044776,10050,2046,8004,20.35820895522388,79.64179104477613
2,3,MIN,8,12,1675,682,0,40.71641791044776,3350,682,2668,20.35820895522388,79.64179104477613
2,3,MIN,8,7,3350,1364,0,40.71641791044776,6700,1364,5336,20.35820895522388,79.64179104477613
2,3,MIN,8,8,5025,2046,0,40.71641791044776,10050,2046,8004,20.35820895522388,79.64179104477613
2,3,MIN,8,9,5025,2046,0,40.71641791044776,10050,2046,8004,20.35820895522388,79.64179104477613
2,3,MIN,9,10,1906,1450,0,76.07555089192026,3812,1450,2362,38.03777544596013,61.96222455403987
2,3,MIN,9,11,2859,2175,0,76.07555089192026,5718,2175,3543,38.03777544596013,61.96222455403987
2,3,MIN,9,12,1906,1450,0,76.07555089192026,3812,1450,2362,38.03777544596013,61.96222455403987
2,3,MIN,9,7,2859,2175,0,76.07555089192026,5718,2175,3543,38.03777544596013,61.96222455403987
2,3,MIN,9,8,1906,1450,0,76.07555089192026,3812,1450,2362,38.03777544596013,61.96222455403987
2,3,MIN,9,9,953,725,0,76.07555089192026,1906,725,1181,38.03777544596013,61.96222455403987
2,4,MAX,10,10,964,964,0,100.0,1928,964,284,50.0,14.730290456431536
2,4,MAX,10,11,1446,1446,0,100.0,2892,1446,426,50.0,14.730290456431536
2,4,MAX,10,12,482,482,0,100.0,964,482,142,50.0,14.730290456431536
2,4,MAX,10,7,964,964,0,100.0,1928,964,284,50.0,14.730290456431536
2,4,MAX,10,8,964,964,0,100.0,1928,964,284,50.0,14.730290456431536
2,4,MAX,10,9,1446,1446,0,100.0,2892,1446,426,50.0,14.730290456431536
2,4,MAX,11,10,244,244,0,100.0,488,244,0,50.0,0.0
2,4,MAX,11,11,488,488,0,100.0,976,488,0,50.0,0.0
2,4,MAX,11,12,732,732,0,100.0,1464,732,0,50.0,0.0
2,4,MAX,11,7,244,244,0,100.0,488,244,0,50.0,0.0
2,4,MAX,11,8,732,612,0,83.60655737704919,1464,732,0,50.0,0.0
2,4,MAX,11,9,488,488,0,100.0,976,488,0,50.0,0.0
2,4,MAX,12,10,420,840,0,200.0,840,840,0,100.0,0.0
2,4,MAX,12,11,280,560,0,200.0,560,560,0,100.0,0.0
2,4,MAX,12,12,280,560,0,200.0,560,560,0,100.0,0.0
2,4,MAX,12,7,273,560,0,205.1282051282051,560,560,0,100.0,0.0
2,4,MAX,12,8,273,560,0,205.1282051282051,560,560,0,100.0,0.0
2,4,MAX,12,9,280,560,0,200.0,560,560,0,100.0,0.0
2,4,MAX,7,10,8979,8979,0,100.0,17958,8979,0,50.0,0.0
2,4,MAX,7,11,8979,8979,0,100.0,17958,8979,0,50.0,0.0
2,4,MAX,7,12,8979,8979,0,100.0,17958,8979,0,50.0,0.0
2,4,MAX,7,7,8979,8979,0,100.0,17958,8979,0,50.0,0.0
2,4,MAX,7,8,8979,8979,0,100.0,17958,8979,0,50.0,0.0
2,4,MAX,7,9,8979,8979,0,100.0,17958,8979,0,50.0,0.0
2,4,MAX,8,10,5025,2028,0,40.35820895522388,10050,2028,6993,20.17910447761194,69.5820895522388
2,4,MAX,8,11,5025,2028,0,40.35820895522388,10050,2028,6993,20.17910447761194,69.5820895522388
2,4,MAX,8,12,5025,2028,0,40.35820895522388,10050,2028,6993,20.17910447761194,69.5820895522388
2,4,MAX,8,7,5025,2028,0,40.35820895522388,10050,2028,6993,20.17910447761194,69.5820895522388
2,4,MAX,8,8,5025,2028,0,40.35820895522388,10050,2028,6993,20.17910447761194,69.5820895522388
2,4,MAX,8,9,4855,2028,0,41.771369721936146,10050,2028,6993,20.17910447761194,69.5820895522388
2,4,MAX,9,10,1906,1340,0,70.30430220356769,3812,1340,1792,35.15215110178384,47.00944386149003
2,4,MAX,9,11,2859,2010,0,70.30430220356769,5718,2010,2688,35.15215110178384,47.00944386149003
2,4,MAX,9,12,2859,2010,0,70.30430220356769,5718,2010,2688,35.15215110178384,47.00944386149003
2,4,MAX,9,7,1906,1340,0,70.30430220356769,3812,1340,1792,35.15215110178384,47.00944386149003
2,4,MAX,9,8,2859,2010,0,70.30430220356769,5718,2010,2688,35.15215110178384,47.00944386149003
2,4,MAX,9,9,1906,1340,0,70.30430220356769,3812,1340,1792,35.15215110178384,47.00944386149003
2,4,MIN,10,10,1446,2040,0,141.07883817427387,2892,2040,852,70.53941908713693,29.460580912863072
2,4,MIN,10,11,964,1360,0,141.07883817427387,1928,1360,568,70.53941908713693,29.460580912863072
2,4,MIN,10,12,1446,2040,0,141.07883817427387,2892,2040,852,70.53941908713693,29.460580912863072
2,4,MIN,10,7,964,1360,0,141.07883817427387,1928,1360,568,70.53941908713693,29.460580912863072
2,4,MIN,10,8,964,1360,0,141.07883817427387,1928,1360,568,70.53941908713693,29.460580912863072
2,4,MIN,10,9,964,1360,0,141.07883817427387,1928,1360,568,70.53941908713693,29.460580912863072
2,4,MIN,11,10,732,1464,0,200.0,1464,1464,0,100.0,0.0
2,4,MIN,11,11,732,1464,0,200.0,1464,1464,0,100.0,0.0
2,4,MIN,11,12,244,488,0,200.0,488,488,0,100.0,0.0
2,4,MIN,11,7,732,1464,0,200.0,1464,1464,0,100.0,0.0
2,4,MIN,11,8,244,488,0,200.0,488,488,0,100.0,0.0
2,4,MIN,11,9,732,1464,0,200.0,1464,1464,0,100.0,0.0
2,4,MIN,12,10,140,280,0,200.0,280,280,0,100.0,0.0
2,4,MIN,12,11,140,280,0,200.0,280,280,0,100.0,0.0
2,4,MIN,12,12,280,560,0,200.0,560,560,0,100.0,0.0
2,4,MIN,12,7,420,840,0,200.0,840,840,0,100.0,0.0
2,4,MIN,12,8,280,560,0,200.0,560,560,0,100.0,0.0
2,4,MIN,12,9,280,560,0,200.0,560,560,0,100.0,0.0
2,4,MIN,7,10,8979,17958,0,200.0,17958,17958,0,100.0,0.0
2,4,MIN,7,11,8979,17958,0,200.0,17958,17958,0,100.0,0.0
2,4,MIN,7,12,8979,17958,0,200.0,17958,17958,0,100.0,0.0
2,4,MIN,7,7,8979,17958,0,200.0,17958,17958,0,100.0,0.0
2,4,MIN,7,8,8979,17958,0,200.0,17958,17958,0,100.0,0.0
2,4,MIN,7,9,8979,17958,0,200.0,17958,17958,0,100.0,0.0
2,4,MIN,8,10,5025,2043,0,40.65671641791045,10050,2043,8007,20.328358208955226,79.67164179104478
