gw,mesh,mode,sensorSF,meshSF,total_sent,total_rcv,total_drop,total_rcv_correct,total_rcv_started,total_collision,radio_der_pct,collision_pct,der_pct
2,2,MAX,11,10,244,190,0,190,488,0,38.9344262295082,0.0,77.8688524590164
2,2,MAX,11,11,244,172,0,172,488,0,35.24590163934426,0.0,70.49180327868852
2,2,MAX,11,12,244,188,0,188,488,0,38.52459016393443,0.0,77.04918032786885
2,2,MAX,11,7,244,190,0,190,488,0,38.9344262295082,0.0,77.8688524590164
2,2,MAX,11,8,244,185,0,185,488,0,37.90983606557377,0.0,75.81967213114754
2,2,MAX,11,9,244,189,0,189,488,0,38.72950819672131,0.0,77.45901639344262
2,2,MAX,12,10,140,131,0,131,280,0,46.785714285714285,0.0,93.57142857142857
2,2,MAX,12,11,140,132,0,132,280,0,47.14285714285714,0.0,94.28571428571428
2,2,MAX,12,12,140,129,0,129,280,0,46.07142857142857,0.0,92.14285714285714
2,2,MAX,12,7,140,128,0,128,280,0,45.714285714285715,0.0,91.42857142857143
2,2,MAX,12,8,140,126,0,126,280,0,45.0,0.0,90.0
2,2,MAX,12,9,140,131,0,131,280,0,46.785714285714285,0.0,93.57142857142857
2,2,MAX,7,10,2993,1109,0,1109,5986,0,18.526561977948546,0.0,37.05312395589709
2,2,MAX,7,11,2993,1124,0,1124,5986,0,18.777146675576343,0.0,37.55429335115269
2,2,MAX,7,12,2993,1140,0,1140,5986,0,19.044437019712664,0.0,38.08887403942533
2,2,MAX,7,7,2993,1121,0,1121,5986,0,18.727029736050785,0.0,37.45405947210157
2,2,MAX,7,8,2993,1135,0,1135,5986,0,18.960908787170062,0.0,37.921817574340125
2,2,MAX,7,9,2993,1091,0,1091,5986,0,18.22586034079519,0.0,36.45172068159038
2,2,MAX,8,10,1675,545,0,545,3350,1889,16.268656716417908,56.38805970149253,32.537313432835816
2,2,MAX,8,11,1675,527,0,527,3350,1919,15.731343283582088,57.28358208955224,31.462686567164177
2,2,MAX,8,12,1675,544,0,544,3350,1889,16.238805970149254,56.38805970149253,32.47761194029851
2,2,MAX,8,7,1675,551,0,551,3350,1896,16.44776119402985,56.59701492537314,32.8955223880597
2,2,MAX,8,8,1675,538,0,538,3350,1940,16.05970149253731,57.91044776119403,32.11940298507462
2,2,MAX,8,9,1675,559,0,559,3350,1923,16.686567164179106,57.40298507462687,33.37313432835821
2,2,MAX,9,10,953,472,0,472,1906,596,24.763903462749212,31.269674711437567,49.527806925498425
2,2,MAX,9,11,953,460,0,460,1906,606,24.134312696747116,31.79433368310598,48.26862539349423
2,2,MAX,9,12,953,479,0,479,1906,585,25.131164742917107,30.692549842602308,50.262329485834215
2,2,MAX,9,7,953,453,0,453,1906,609,23.767051416579225,31.951731374606506,47.53410283315845
2,2,MAX,9,8,953,466,0,466,1906,609,24.449108079748164,31.951731374606506,48.89821615949633
2,2,MAX,9,9,953,459,0,459,1906,584,24.081846799580273,30.640083945435464,48.163693599160545
2,2,MIN,10,10,482,370,0,370,964,146,38.38174273858922,15.145228215767634,76.76348547717843
2,2,MIN,10,11,482,348,0,348,964,144,36.09958506224066,14.937759336099585,72.19917012448133
2,2,MIN,10,12,482,364,0,364,964,151,37.75933609958506,15.663900414937759,75.51867219917013
2,2,MIN,10,7,482,354,0,354,964,151,36.72199170124482,15.663900414937759,73.44398340248964
2,2,MIN,10,8,482,365,0,365,964,149,37.863070539419084,15.45643153526971,75.72614107883817
2,2,MIN,10,9,482,360,0,360,964,148,37.344398340248965,15.352697095435685,74.68879668049793
2,2,MIN,11,10,244,234,0,234,488,0,47.950819672131146,0.0,95.90163934426229
2,2,MIN,11,11,244,208,0,208,488,0,42.62295081967213,0.0,85.24590163934425
2,2,MIN,11,12,244,217,0,217,488,0,44.4672131147541,0.0,88.9344262295082
2,2,MIN,11,7,244,227,0,227,488,0,46.51639344262295,0.0,93.0327868852459
